Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Route,Year,Quarter,Month,Month_Name,Day_of_Week,Weather_Severity,Risk_Category,Reliability_Level,Fuel_Cost_Bucket,Shipment_Size,Distance_Category,Expected_Lead_Time_Days,Delay_Days,Delay_Percentage,Delay_Status,SLA_Met,Estimated_Cost_USD,Cost_Per_KM,Cost_Per_Tonne,Carbon_Emission_kg,Emission_Per_Tonne_KM,Risk_Index,Priority_Level,Chokepoint_Route,Route_Disruption_Rate
SC-10000,2025-10-16,Singapore,Los Angeles,Rail,Textiles,5930.83,197.42,2.43,5.0,Hurricane,0.865,41.39,1,Singapore -> Los Angeles,2025,Q4,10,Oct,Thursday,5,Medium,Excellent,Medium,Medium,Medium-Haul,11.54,29.85,258.7,Major Delay,No,8732.31,1.47,44.23,25759.0,22,54.0,Medium,No,61.5
SC-10001,2024-04-24,Singapore,Shanghai,Rail,Automotive,14285.36,237.24,2.3,7.5,Storm,0.592,40.92,1,Singapore -> Shanghai,2024,Q2,4,Apr,Wednesday,4,High,Poor,Low,Medium,Long-Haul,11.54,29.38,254.6,Major Delay,No,25011.25,1.75,105.43,74559.3,22,66.2,High,No,60.2
SC-10002,2024-01-26,Rotterdam,Los Angeles,Rail,Perishables,11113.91,427.42,1.78,5.6,Rain,0.673,11.54,0,Rotterdam -> Los Angeles,2024,Q1,1,Jan,Friday,3,Medium,Good,Low,Heavy,Long-Haul,11.54,0.0,0.0,On Time,Yes,33575.17,3.02,78.55,104506.8,22,50.2,Medium,No,60.0
SC-10003,2024-10-08,Busan,Hamburg,Rail,Electronics,9180.55,170.66,3.2,0.8,Hurricane,0.832,53.13,1,Busan -> Hamburg,2024,Q4,10,Oct,Tuesday,5,Low,Good,Medium,Medium,Long-Haul,11.54,41.59,360.4,Major Delay,No,12408.68,1.35,72.71,34468.6,22,38.2,Medium,No,65.0
SC-10004,2024-09-07,Busan,Singapore,Air,Perishables,2762.27,434.96,2.77,1.9,Fog,0.741,0.5,1,Busan -> Singapore,2024,Q3,9,Sep,Saturday,2,Low,Good,Medium,Heavy,Short-Haul,0.93,-0.43,-46.2,On Time,Yes,69042.87,24.99,158.73,600738.5,500,27.4,Medium,No,58.4
SC-10005,2024-08-16,Rotterdam,Marseille,Rail,Automotive,2761.92,44.98,4.06,2.2,Rain,0.869,2.16,1,Rotterdam -> Marseille,2024,Q3,8,Aug,Friday,3,Low,Excellent,High,Light,Short-Haul,11.54,-9.38,-81.3,On Time,Yes,1048.01,0.38,23.3,2733.1,22,30.7,Low,No,75.0
SC-10006,2024-05-22,Shanghai,Antwerp,Rail,Pharmaceuticals,1342.21,388.62,1.31,2.6,Storm,0.981,2.99,0,Shanghai -> Antwerp,2024,Q2,5,May,Wednesday,4,Low,Excellent,Low,Heavy,Short-Haul,11.54,-8.55,-74.1,On Time,Yes,3539.64,2.64,9.11,11475.4,22,35.0,Medium,No,61.0
SC-10007,2024-04-14,Busan,Antwerp,Air,Textiles,13059.55,423.93,3.32,5.7,Fog,0.558,1.25,1,Busan -> Antwerp,2024,Q2,4,Apr,Sunday,2,Medium,Poor,Medium,Heavy,Long-Haul,0.93,0.32,34.4,Minor Delay,No,331847.92,25.41,782.79,2768167.5,500,48.1,Medium,No,60.0
SC-10008,2025-11-23,Dubai,Marseille,Air,Textiles,9216.17,91.73,3.72,5.0,Clear,0.855,0.62,1,Dubai -> Marseille,2025,Q4,11,Nov,Sunday,1,Medium,Excellent,High,Light,Long-Haul,0.93,-0.31,-33.3,On Time,Yes,52194.95,5.66,569.01,422699.6,500,30.4,Low,No,59.5
SC-10009,2025-07-12,Los Angeles,Singapore,Rail,Electronics,10767.05,215.74,3.71,2.0,Storm,0.615,25.17,1,Los Angeles -> Singapore,2025,Q3,7,Jul,Saturday,4,Low,Poor,High,Medium,Long-Haul,11.54,13.63,118.1,Major Delay,No,19108.04,1.77,88.57,51103.4,22,43.6,Medium,No,72.1
